,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-03-26,Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2): An Update,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7182166/,PMC,Other,,,,,,"In December 2019, a group of patients with pneumonia have been confirmed to be infected with a novel CoV (nCoV), which was not previously observed in humans in Wuhan, the capital city of Hubei province of China The newly discovered virus, causing a similar infection (SARS-CoV), was initially named as nCoV 2019 (January 2020) and was later called COVID-19 in February 2020.","As of February 12, 2020, a total of 43,103 cases of infection and 1,018 deaths have been recorded .","This confirms the fact that at low temperature, low humidity conditions favor the virus survival in the environment.

The virus may remain viable on distinct surfaces for 48 hours at 20°C and 40% relative humidity, even though viability reduced to 8 hours at 30°C and 80% relative humidity conditions .",2020-05-01
,2020-03-24,Environmental Engineers and Scientists Have Important Roles to Play in Stemming Outbreaks and Pandemics Caused by Enveloped Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7099656/,Environ Sci Technol,Other,,,,,,"Our drinking water treatment plants, including those used to produce drinking water from wastewater, were designed using microbial risk assessments and process performance data with nonenveloped enteric viruses.","e Samples from 627 patients with gastroenteritis symptoms, median f Samples from 71 health blood donors that tested positive or JC polyomavirus, median.","Relative humidity, fomite material, and air temperature can greatly impact enveloped virus inactivation rates.",2020-04-03
,2020-03-20,SARS-CoV-2 and Coronavirus Disease 2019: What We Know So Far,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7157541/,Pathogens,Other,,,,,,"The National Institutes of Health in the US, and Baylor University in Waco, Texas, are working on a vaccine based on what they know about the coronavirus in general, using information from the SARS outbreak.","in the first published review of the clinical presentation of 41 patients admitted to hospital with COVID-19 , 98% of patients had a fever, 76% had a cough, and 55% had shortness of breath on admission.","Under certain humidity and temperature environments, airborne droplets can remain in flight for hours.",2020-05-12
,2020-03-20,"Preliminary evidence that higher temperatures are associated with lower incidence of COVID-19, for cases reported globally up to 29th February 2020",https://doi.org/10.1101/2020.03.18.20036731,medrxiv,Case series,,,,,,"The line list included data on confirmed cases up to February 29 th 2020 for all countries, including China.","A total of 13,479 confirmed cases were included in the dataset.","The observed association may not be due directly to temperature, but to correlated factors such as relative humidity, or human behaviours during cold weather.",2020-03-27
,2020-03-17,COVID-19: a novel zoonotic disease caused by a coronavirus from China: what we know and what we don’t,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086482/,Microbiol Aust,Other,,,,,,"In addition, virus was detected by RT-PCR in stools from 9 of 17 confirmed cases, but at titres lower than in respiratory samples 30 .","In addition, virus was detected by RT-PCR in stools from 9 of 17 confirmed cases, but at titres lower than in respiratory samples 30 .","Information is also needed on the stability of the virus in the environment to better determine transmission risks, and especially the survival of the virus in aerosols and on hard surfaces under different conditions of temperature and humidity.",2020-04-03
,2020-03-17,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,https://doi.org/10.1101/2020.03.13.20035238,medrxiv,Modeling,,,,,,"January 19, 2020 is the first day that COVID-19 cases were reported outside of Wuhan, so we collect the daily number of new cases of COVID-19 for 303 cities from January 19 to February 15.","A back of the envelope calculation indicates that one new case in Wuhan leads to 0.067 (0.120) more cases in the destination city per 10,000 travelers from Wuhan within one (two) week between January 19 and February 1 (February 2 and February 15) 13 .","Lower temperatures may also enhance the infectiousness of the virus in the environment .

Weather conditions such as rainfall, wind speed, and temperatures may play a key role in shaping infections via influencing social activities and virus transmissions.",2020-03-27
,2020-03-16,How Should the Rehabilitation Community Prepare for 2019-nCoV?,https://doi.org/10.1016/j.apmr.2020.03.003,Archives of Physical Medicine and Rehabilitation,Other,,,,,,"In late December 2019, novel coronavirus 2019 (2019-nCoV) emerged from Wuhan, Hubei Province, China, 1 and by early January 2020, Singapore became the country with the second highest number of cases.",7 It also found that most of the 2000þ infected hospital workers were either infected at home or from patient contact in the early phase of the outbreak in Wuhan when hospital safeguards were not raised yet.,"Environmental persistence of coronaviruses varies with ambient temperature and humidity, surface type, and viral inoculum load.",2020-05-12
,2020-03-16,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medrxiv,Time-to-event analysis,,,,,,We downloaded the geo-referenced coordinates of COVID-19 cases from the data repository operated by the Johns Hopkins University Center for Systems Science and Engineering with support from ESRI Living Atlas Team and the Johns Hopkins University Applied Physics Laboratory ( The data were downloaded on 23/03/2020.,We downloaded the geo-referenced coordinates of COVID-19 cases from the data repository operated by the Johns Hopkins University Center for Systems Science and Engineering with support from ESRI Living Atlas Team and the Johns Hopkins University Applied Physics Laboratory ( The data were downloaded on 23/03/2020.,"Humidity in the air is also expected to affect the transmissibility of respiratory viruses.

For example, a recent study examined survival of dried SARS-CoV-1 Coronavirus on smooth surfaces and found that it would be viable for over 5 days at temperatures ranging between 11-25ºC and relative humidity of 40-50%, drastically loosing viability as temperatures and humidity increased .",2020-04-10
,2020-03-16,The SARS-CoV-2 outbreak from a one health perspective,https://doi.org/10.1016/j.onehlt.2020.100127,One Health,Other,,,,,,"As of 10 AM CET 03 March 2020, there are 128920 laboratory-confirmed cases reported to the WHO from 113 countries and territories across the globe with a total fatality of 4747 .","As of 10 AM CET 03 March 2020, there are 128920 laboratory-confirmed cases reported to the WHO from 113 countries and territories across the globe with a total fatality of 4747 .","There are several factors that control the virus's survival in the environment on these objects, such as the -p Journal Pre-proof temperature, the relative humidity, the strain of the virus .",2020-03-27
,2020-03-12,"Coronavirus Infections in Children Including COVID-19: An Overview of the Epidemiology, Clinical Features, Diagnosis, Treatment and Prevention Options in Children",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158880/,Pediatr Infect Dis J,Other,,,,,,"61, 72, 77 The first included 20 children up to January 31, 2020, in the Province of Zhejiang, 72 the second 34 children between January 19, 2020, and February 7, 2020, in the Province of Shenzhen, 61 and the third 9 infants from different provinces in China.",There are 3 case series that report a total of 41 children who were affected by SARS-CoV.,The persistence depends on temperature (shorter duration at 30-40°C) and humidity (longer at higher humidity).,2020-04-24
,2020-03-09,High Temperature and High Humidity Reduce the Transmission of COVID-19,https://doi.org/,ArXiv,Modeling,,,,,,"We use the daily R values from January 21 to 23, 2020 for each city in this paper.","For example, there was a sudden increase of more than 13,000 cases in a single day (February 12, 2020) in Wuhan, and the majority of them were previously left unable to seek medical treatment.","The transmission of coronaviruses can be affected by a number of factors, including climate conditions (such as temperature and humidity), population density and medical care quality .

High Temperature and High Humidity Reduce the Transmission of COVID-19

This paper investigates the influence of air temperature and relative humidity on the transmission of COVID-19.

However, up to now, there is no direct evidence on the influence of temperature and humidity on the transmission of the COVID-19.

Absolute humidity, the mass of water vapor per cubic meter of air, relates to both temperature and relative humidity.

Temperature and relative humidity have quite strong influences on R values, with 1% significant levels for both in Table 2 .",2020-05-01
,2020-02-20,"2019 novel coronavirus of pneumonia in Wuhan, China: emerging attack and management strategies",https://doi.org/10.1186/s40169-020-00271-z,Clin Transl Med,Other,,,,,,"Based on the current epidemiological survey, most individuals had a history of close contact to a patient who had 2019-nCoV infection or a history of travel from Wuhan City or Hubei province, China.","At least 40,261 cases confirmed, 23,589 cases suspected, 909 cases death and 3444 cases cured in China and worldwide 24 countries confirmed 383 cases being diagnosed, 1 case death in February 10th, 2020.","The climate of temperature, relative humidity, and wind velocity should also be attention to the transmission.",2020-04-10
0,2020-04-25,Temperature significantly changes COVID-19 transmission in (sub)tropical cities of Brazil,https://doi.org/10.1016/j.scitotenv.2020.138862,Science of The Total Environment,Ecological Regression,Temperature,Y,"When the average temperature was below 25.8°C, each 1°C rise was associated with a −4.8951% (t = −2.29, p = 0.0226) decrease in the number of daily cumulative confirmed cases of COVID-19 but not above 25.8°C",countries: Brazil; cities: 27,05/03/2020,,,,
1,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,https://doi.org/10.1016/j.gsd.2020.100400,medrxiv,Systemic Review,Temperature,Y,COVID will not endure high temperature and humidity of the (Indian/Tropical) summer.,-,05/03/2020,,,,
2,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,https://doi.org/10.1016/j.gsd.2020.100400,medrxiv,Systemic Review,Humidity,Y,COVID will not endure high temperature and humidity of the (Indian/Tropical) summer.,-,05/03/2020,,,,
3,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systemic Review,Temperature,Y,warm and wet climates seem to reduce the spread of COVID-19,-,05/03/2020,,,,
4,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systemic Review,Humidity,Y,warm and wet climates seem to reduce the spread of COVID-19,-,05/03/2020,,,,
5,2020-04-14,Relationship between Average Daily Temperature and Average Cumulative Daily Rate of Confirmed Cases of COVID-19,https://doi.org/10.1101/2020.04.10.20059337,medrxiv,Ecological Regression,Average daily temperature,Y,"We found that when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases.",countries: 5,05/03/2020,,,,
6,2020-04-12,"Evidence that higher temperatures are associated with lower incidence of COVID-19 in pandemic state, cumulative cases reported up to March 27, 2020",https://doi.org/10.1101/2020.04.02.20051524,medrxiv,Ecological Regression,Temperature,Y,"Modeling of case data reported March 27, 2020, as predicted by temperature, indicated a strong regional-level correlation between COVID-19 case rates and mean maximum surface air temperatures below 22.5oC.",countries: globally,05/03/2020,,,,
7,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature minimum (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020,,,,
8,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature maximum (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020,,,,
9,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature average (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020,,,,
10,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,humidity (%),N,-,cases: 678,04/15/2020,,,,
11,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,amount of Rainfall (mm),N,-,cases: 678,04/15/2020,,,,
12,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average pressure,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020,,,,
13,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average temperature,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020,,,,
14,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Minimum temperature,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020,,,,
15,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average water vapor pressure,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020,,,,
16,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Maximum Temperature,N,-,cases: 67773,04/12/2020,,,,
17,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average water temperature pressure,N,-,cases: 67773,04/12/2020,,,,
18,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average relative humidity,N,-,cases: 67773,04/12/2020,,,,
19,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average windspeed,N,-,cases: 67773,04/12/2020,,,,
20,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Precipitation,N,-,cases: 67773,04/12/2020,,,,
21,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Total Solar Radiation,N,-,cases: 67773,04/12/2020,,,,
22,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Maximum Solar Irradiance,N,-,cases: 67773,04/12/2020,,,,
23,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Temperature,Y,Cold and dry environments are more favourable condition for virus survival,countries: 116,04/12/2020,,,,
24,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Humidity,Y,Cold and dry environments are more favourable condition for virus survival,countries: 117,04/12/2020,,,,
25,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Windspeed,N,-,countries: 118,04/12/2020,,,,
26,2020-03-31,No Evidence for Temperature-Dependence of the COVID-19 Epidemic,https://doi.org/10.1101/2020.03.29.20046706,medrxiv,Ecological Regression,Temperature,N,no evidence that spread rates decline with temperatures above 20 oC,countries: globally,04/08/2020,,,,
27,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Time-series analysis,Temperature,Y,"Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",countries: China; provinces: 31,04/08/2020,,,,
28,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Time-series analysis,Humidity,Y,"Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",countries: China; provinces: 31,04/08/2020,,,,
29,2020-03-30,Effects of temperature on COVID-19 transmission,https://doi.org/10.1101/2020.03.29.20044461,medrxiv,Retrospective Study,Temperature,N,"Changes in temperature shows no significant correlation with cases transmitted, deaths or recovered:",cases: 240000,04/15/2020,,,,
30,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Temperature,Y,Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,cases: 2299,04/15/2020,,,,
31,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Humidity,Y,Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,cases: 2299,04/15/2020,,,,
32,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Diurnal Temperature,N,-,cases: 2299,04/15/2020,,,,
33,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Air Pollutant,N,-,cases: 2299,04/15/2020,,,,
34,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Temperature,Y,"1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",cases: 166686,04/15/2020,,,,
35,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Precipitation,N,-,cases: 166686,04/15/2020,,,,
36,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Specific Humidity,N,-,cases: 166686,04/15/2020,,,,
37,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medrxiv,Ecological Study,Absolute Humidity,N,-,"countries: China, provinces: 31",04/08/2020,,,,
38,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medrxiv,Ecological Study,Temperature,Y,Transmission rate decreased with the increase of temperature,"countries: China, provinces: 31",04/08/2020,,,,
39,2020-03-23,Association between ambient temperature and COVID-19 infection in 122 cities from China,https://doi.org/10.1016/j.scitotenv.2020.138201,Science of The Total Environment,Ecological Regression,Temperature,Y,Our results indicate that mean temperature has a positive linear relationship with the number of COVID-19 cases with a threshold of 3 °C.,countries: China; cities: 122,04/15/2020,,,,
40,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Ecological Regression,Temperature,Y,Multiple environmental factors are involved,cities: 523,04/08/2020,,,,
41,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Ecological Regression,Wind Speed,Y,Multiple environmental factors are involved,cities: 523,04/08/2020,,,,
42,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Ecological Regression,Relative Humidity,Y,Multiple environmental factors are involved,cities: 523,04/08/2020,,,,
43,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Ecological Regression,Visibility,N,-,cities: 523,04/08/2020,,,,
44,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Diurnal Temperature Range,Y,"Each 1 unit increase in diurnal temperature range was only associated with a 2.92% (95% CI: 0.61%, 5.28%) increase in COVID-19 mortality at lag 3",deaths: 2299,04/15/2020,,,,
45,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Temperature,Y,"Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 mortality at lag 3 and lag 5, respectively.",deaths: 2299,04/15/2020,,,,
46,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Relative Humidity,N,-,deaths: 2299,04/15/2020,,,,
47,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Air Pollutant,N,-,deaths: 2299,04/15/2020,,,,
48,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Ecological Regression,Temperature,Y,Results indicate that the doubling time correlates positively with temperature and inversely with humidity. A 20C increase is expected to delay the doubling time in 1.8 days.,countries: China; provinces: 31,04/08/2020,,,,
49,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Ecological Regression,Humidity,Y,Results indicate that the doubling time correlates positively with temperature and inversely with humidity. A 20C increase is expected to delay the doubling time in 1.8 days.,countries: China; provinces: 31,04/08/2020,,,,
50,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Ecological Regression,Precipitation,N,-,countries: China; provinces: 31,04/08/2020,,,,
51,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Ecological Regression,Wind Speed,N,-,countries: China; provinces: 31,04/08/2020,,,,
52,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medrxiv,Simulation ,Temperature,Y,"SARS-CoV- 2 was capable of producing a substantial outbreak regardless of establishment time. Winter/spring establishments favored longer-lasting outbreaks with shorter peaks (Fig 3A), while autumn/winter establishments led to more acute outbreaks",countries: USA,04/08/2020,,,,
53,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medrxiv,Simulation ,Absolute Humidity,N,-,countries: USA,04/08/2020,,,,
54,2020-03-03,Potential Factors Influencing Repeated SARS Outbreaks in China.,https://doi.org/10.3390/ijerph17051633,IJERPH,Literature Review,Temperature,Y,"A cold, dry environment is more conducive for SARS-COV-2 viral infection in human beings",-,04/08/2020,,,,
55,2020-03-03,Potential Factors Influencing Repeated SARS Outbreaks in China.,https://doi.org/10.3390/ijerph17051633,IJERPH,Literature Review,Humidity,Y,"A cold, dry environment is more conducive for SARS-COV-2 viral infection in human beings",-,04/08/2020,,,,
56,2020-02-29,"The Effects of ""Fangcang Huoshenshan and Leishenshan"" Makeshift Hospitals and Temperature on the Mortality of COVID-19",https://doi.org/10.1101/2020.02.26.20028472,medrxiv,Retrospective Study,Air Temperature,Y,"if the AT rises 1 Celsius, the mortality of confirmed cases would decrease 0.44% and the mortality of severe cases would decrease 0.42% on average. ",countries: China; timeline: 32 days,04/08/2020,,,,
57,2020-02-21,Molecular mechanism of evolution and human infection with the novel coronavirus (2019-nCoV),https://doi.org/10.1101/2020.02.17.952903,biorxiv,Basic Science,Temperature,Y,2019-nCoV will be less infectious with rising temperature and more infectious in the Winter,-,04/08/2020,,,,
58,2020-02-18,Analysis of meteorological conditions and prediction of epidemic trend of 2019-nCoV infection in 2020,https://doi.org/10.1101/2020.02.13.20022715,medrxiv,Ecological Regression,Temperature,Y,"The humidity range is 50%-80%, of which about 75% humidity is conducive to the survival of the coronavirus; the suitable precipitation range is below 30 mm/ month. Cities with a mean temperature below 24 °C are all high-risk cities for 2019-nCoV","cities: Wuhan, Guangzhou",04/15/2020,,,,
59,2020-02-18,Analysis of meteorological conditions and prediction of epidemic trend of 2019-nCoV infection in 2020,https://doi.org/10.1101/2020.02.13.20022715,medrxiv,Ecological Regression,Humidity,Y,"The humidity range is 50%-80%, of which about 75% humidity is conducive to the survival of the coronavirus; the suitable precipitation range is below 30 mm/ month. Cities with a mean temperature below 24 °C are all high-risk cities for 2019-nCoV","cities: Wuhan, Guangzhou",04/15/2020,,,,
60,2020-02-18,Analysis of meteorological conditions and prediction of epidemic trend of 2019-nCoV infection in 2020,https://doi.org/10.1101/2020.02.13.20022715,medrxiv,Ecological Regression,Precipitation,Y,"The humidity range is 50%-80%, of which about 75% humidity is conducive to the survival of the coronavirus; the suitable precipitation range is below 30 mm/ month. Cities with a mean temperature below 24 °C are all high-risk cities for 2019-nCoV","cities: Wuhan, Guangzhou",04/15/2020,,,,
61,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medrxiv,Ecological Regression,Temperature,N,Weather alone will not lead to a decrease in COVID 19 Cases,-,04/15/2020,,,,
62,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medrxiv,Ecological Regression,Relative Humidity,N,Weather alone will not lead to a decrease in COVID 19 Cases,-,04/15/2020,,,,
