,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Days,Range (Days),Excerpt,Added on
0,2020-04-22,Persistent viral shedding of SARS-CoV-2 in faeces - a rapid review,https://doi.org/10.1101/2020.04.17.20069526,medRxiv,Systematic literature review,824; 26 articles,range: 3 months - 87 years,Fecal matter,-,range: 1-47,-,4/25/2020
1,2020-04-14,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study",https://doi.org/10.1101/2020.04.09.20058941,medRxiv,Retrospective cohort,280,"median: 48, IQR: 33-62",Respiratory tract,median: 12,IQR: 8-16; viral RNA cleared in 89% of patients within 21 days,-,4/25/2020
2,2020-04-06,"Virologic and clinical characteristics for prognosis of severe COVID-19: a retrospective observational study in Wuhan, China",https://doi.org/10.1101/2020.04.03.20051763,medRxiv,Case series,50,"median: 64, range: 37-87",Respiratory tract,"median: 31 (PCR confirmed, all ""severe"" COVID-19 pts)",IQR: 27-34; max 57 days,-,5/3/2020
3,2020-04-06,"Virologic and clinical characteristics for prognosis of severe COVID-19: a retrospective observational study in Wuhan, China",https://doi.org/10.1101/2020.04.03.20051763,medRxiv,Case series,50,"median: 64, range: 37-87",GI tract,"median: 31 (PCR confirmed, all ""severe"" COVID-19 pts)",IQR: 27-34; max 57 days,-,5/3/2020
4,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective cohort,67,"median: 49, range: 10-77",Nasopharyngeal,median: 12,range: 3-38,-,4/6/2020
5,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective cohort,67,"median: 49, range: 10-77",Sputum,median: 19,range: 5-37,-,4/6/2020
6,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective cohort,67,"median: 49, range: 10-77",Fecal matter,median: 18,range: 7-26,-,4/6/2020
7,2020-03-14,Patients with respiratory symptoms are at greater risk of COVID-19 transmission,https://doi.org/10.1016/j.rmed.2020.105935,Respiratory Medicine,Retrospective cohort,82,median: 56 (pts w/respiratory sxs),Nasopharyngeal,median: 17,IQR: 12-23,-,5/3/2020
8,2020-03-14,Patients with respiratory symptoms are at greater risk of COVID-19 transmission,https://doi.org/10.1016/j.rmed.2020.105935,Respiratory Medicine,Retrospective cohort,82,median: 51 (pts w/o respiratory sxs),Nasopharyngeal,median: 13,IQR: 6-20,-,5/3/2020
9,2020-03-11,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",https://doi.org/10.1016/S0140-6736(20)30566-3,The Lancet,Retrospective cohort,137; survivors,"median: 52, IQR 45-58",Throat,median: 20,IQR: 17-24; max 37,-,4/6/2020
10,2020-02-19,COVID-19 in a Designated Infectious Diseases Hospital Outside Hubei Province China,https://doi.org/10.1101/2020.02.17.20024018,medRxiv,Retrospective cohort,298,"median: 47, IQR 33-61",Nasopharyngeal,median: 14,IQR: 10-19,-,4/15/2020
