,Date,Study,Study Link,Journal,Study Type,Method,Result,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-07-31,Pathogenic viruses: Molecular detection and characterization,https://doi.org/10.1016/j.meegid.2020.104215,"Infection, Genetics and Evolution",Other,,,,,"Up to January 2020, WHO had reported 861 laboratory-confirmed cases of human infection with H5N1, 455 of which were fatal, resulting in a mortality rate of 53% (World Health Organization (WHO), 2020).","Up to January 2020, WHO had reported 861 laboratory-confirmed cases of human infection with H5N1, 455 of which were fatal, resulting in a mortality rate of 53% (World Health Organization (WHO), 2020).","The study showed the existence of genetic drift, due to genetic evolution of the virus.",2020-03-27
,2020-07-01,On biological evolution and environmental solutions,https://doi.org/10.1016/j.scitotenv.2020.138194,Sci Total Environ,Modeling,,,,,There is a frequent use of methods and technologies originating from evolutionary biology.,"Such lineage diversity within species is rarely accounted for in typical assessments of pollutants on organisms (Relyea and Hoverman, 2006) .","Mutation Mutations are random, heritable changes in the sequence or structure of a gene.

If migration is sufficiently high and migrant genes are not selected against, gene flow will homogenize allele frequencies and reduce genetic differences in the genetic composition of populations.Genetic drift Genetic drift is the stochastic change in allele frequencies over generations.

Mutations are random, heritable changes in the sequence or structure of a gene.",2020-04-10
,2020-05-03,Large scale genomic analysis of 3067 SARS-CoV-2 genomes reveals a clonal geo-distribution and a rich genetic variations of hotspots mutations,https://doi.org/10.1101/2020.05.03.074567,biorxiv,Other,,,,,"In this study, we collected and analyzed 3,067 SARS-CoV-2 genomes isolated from 59 countries during the first three months after the onset of this virus.","Overall, a total of 1,190 proteins 262 were grouped into a pangenome of 94 orthologous cluster proteins, of which ten proteins 263 cluster were shared between SARS-CoV-2 and only three species of the genus 264",Large scale genomic analysis of 3067 SARS-CoV-2 genomes reveals a clonal geo-distribution and a rich genetic variations of hotspots mutations,2020-05-12
,2020-04-24,"Genomic, geographic and temporal distributions of SARS-CoV-2 mutations",https://doi.org/10.1101/2020.04.22.055863,biorxiv,Case series,,,,,We downloaded the whole-genome sequence data from the Global Initiative on Sharing Avian Influenza Data (GISAID) database ( National Center for Biotechnology Information (NCBI) Genbank ( and China National Center for Bioinformation (CNCB) ( on Mar 31st 2020.,"We also removed four samples with a large deletion in ORF8 (sample EPI_ISL_417518 from Taiwan with EPI_ISL_141378, EPI_ISL_141379, and EPI_ISL_141380 from Singapore), sample EPI_ISL_415435 from UK with a large deletion in ORF1ab, and sample EPI_ISL_413752 from China with a large number of deletions (>300 nucleotides).","Mutation was identified as variation from the reference.

Mutations in the form of single nucleotide variations (SNVs) provide a direct interpretation for the six phylogenetic clusters.",2020-05-01
,2020-04-21,Compounds with Therapeutic Potential against Novel Respiratory 2019 Coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179632/,Antimicrob Agents Chemother,Other,,,,,"By the end of February 2020, 2 months after the first cases of SARS-CoV-2 were reported in China, several hundreds of new infection cases had been registered, mainly in other Asian regions and Europe.","Neverthe-less, we must be aware that, currently, no compound that targets SARS-CoV or MERS-CoV has moved beyond phase 1 trials.","As an RNA virus, SARS-CoV-2 has intrinsic genetic variability, which results in a high mutation rate.",2020-05-01
,2020-04-19,Patient-derived mutations impact pathogenicity of SARS-CoV-2,https://doi.org/10.1101/2020.04.14.20060160,medrxiv,Other,,,,,"References of SARS-CoV-2 were downloading from NCBI on date February 28th, 2020.","The 11 patients 99 include 8 males and 3 females, with ages ranging from 4 months to 71 years old.","118 In total, 33 mutations were identified (including 10 mutations observed in 119 mixed-populations), and 19 of these mutations were novel, according to the comparison 120 with 1111 genomic sequences available at GISAID on 3/24/2020 ( Fig.",2020-05-01
,2020-04-11,Exploring the genomic and proteomic variations of SARS-CoV-2 spike glycoprotein: a computational biology approach,https://doi.org/10.1101/2020.04.07.030924,biorxiv,Other,,,,,"Wuhan, Hubei province of China in December 2019.","In addition, all 40 S glycoprotein sequences from different coronavirus families were retrieved for phylogenetic .","Multiple sequence alignment of the available 320 genomes of SARS-CoV-2 were performed and 483 variations were found throughout the 29,903 bp long SARS-CoV-2 genome with in total 115 variations in UTR region, 130 synonymous variations that cause no amino acid alteration, 228 non-synonymous variations causing change in amino acid residue, 16 INDELs, and 2 variations in non-coding region (Supplementary Table 2 ).

In this study, 483 unique variations have been identified among the genomes including 25 non-synonymous mutations and one deletion in the spike protein of SARS-CoV-2.",2020-04-17
,2020-04-06,ACE2 variants underlie interindividual variability and susceptibility to COVID-19 in Italian population,https://doi.org/10.1101/2020.04.03.20047977,medrxiv,Case series,,,,,"In December 2019, an initial cluster of unexpected interstitial bilateral pneumonia emerged in Wuhan, Hubei province.",Targeted enrichment and massively parallel sequencing were performed on genomic DNA extracted from circulating leukocytes of 6984 individuals.,ACE2 variants underlie interindividual variability and susceptibility to COVID-19 in Italian population,2020-04-10
,2020-04-06,Is Global BCG Vaccination Coverage Relevant To The Progression Of SARS-CoV-2 Pandemic?,https://doi.org/10.1016/j.mehy.2020.109707,Medical Hypotheses,Other,,,,,"Herein, we hypothesize that BCG vaccination policies adopted by different countries might influence the SARS-CoV-2 transmission patterns and/or COVID-19 associated morbidity and mortality through the vaccine’s capacity to confer heterologous protection.","To check the validity of this hypothesis, we compared the number of cases and deaths per million people from 40 countries with at least 500 cases according to their BCG vaccination status ( Figure 1 and Table 1 ).","During their serial passage, BCG strains accumulated genomic alterations, including deletions, single-nucleotide polymorphisms and duplications of genomic regions, leading to the emergence of several substrains.",2020-04-10
,2020-03-24,Genotyping coronavirus SARS-CoV-2: methods and implications,https://doi.org/,ArXiv,Case series,,,,,"For example, in USA (IL) two consecutive infection cases (US|IL1|EPI_ISL_404253|2020-01-21,US|IL2|EPI_ISL_410045|2020-01-28), the virus increased one mutation (28854C>Y) between two same community members.","For example, in USA (IL) two consecutive infection cases (US|IL1|EPI_ISL_404253|2020-01-21,US|IL2|EPI_ISL_410045|2020-01-28), the virus increased one mutation (28854C>Y) between two same community members.",The SNP mutations can be single mutation and multiple mutations at a few fixed positions.,2020-05-01
,2020-03-24,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7133387/,Gut,Modeling,,,,,DESIGN: COVID-19 hospital patients were admitted in the Zhejiang province from 17 January 2020 to 8 February 2020.,"This study enrolled 651 patients with confirmed COVID-19 from 17 January 2020 to 8 February 2020 in Zhejiang province, among which 74 (11.4%) patients presented with at least one GI tract symptom (nausea, vomiting and diarrhoea), which was higher than previous Wuhan data (table 1) .",The change and mutation of SARS-CoV-2 are the basis of its variation in epidemiological and clinical features.,2020-04-10
,2020-03-21,Comparative analyses of SAR-CoV2 genomes from different geographical locations and other coronavirus family genomes reveals unique features potentially consequential to host-virus interaction and pathogenesis,https://doi.org/10.1101/2020.03.21.001586,biorxiv,Other,,,,,"respectively, were retrieved from NCBI genome database.",The mutations reported in literature (3)were catalogued and evaluated for pathogenicity.,These mutations may have significant impact on the antigenic and immunogenic changes responsible for differences in the severity of the outbreak in different geographical regions.,2020-03-27
,2020-03-04,A glimpse into the origins of genetic diversity in SARS-CoV-2,https://doi.org/10.1093/cid/ciaa213,Clin Infect Dis,Other,,,,,"Near the end of 2019, the novel coronavirus SARS-CoV-2 began transmitting among humans.",Li and colleagues describe the genetic variability within 7 COVID-19 patients from China.,"Evolution requires genetic diversity, and genetic diversity arises from two distinct mechanisms: mutation and recombination.

Recombination, on the other hand, can increase genetic diversity by placing existing mutations into new genetic backgrounds.",2020-04-10
,2020-02-14,Current Trends in Diagnostics of Viral Infections of Unknown Etiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7077230/,Viruses,Other,,,,,"All search methods rely on genome reference databases, such as the NCBI GenBank, RefSeq or BLAST nucleotide (nt) and non-redundant protein (nr) databases.",They used 42 virus-positive controls from pediatric patients and 67 unidentified samples .,"The search for viral pathogens is often impeded by their genetic variability, caused by a multitude of factors: gene duplications and exchanges, frequent single-nucleotide mutations, gene-large insertions and rapid adaptation of viruses to new hosts.",2020-03-27
0,2020-02-21,Genetic diversity and evolution of SARS-CoV-2,https://www.sciencedirect.com/science/article/pii/S1567134820300915?via%3Dihub,"Infection, Genetics and Evolution",Genomic Study,Gene Sequencing,"Three deletions in the genomes of SARS-CoV-2 from Japan (Aichi), USA (Wisconsin), and Australia (Victoria). Two deletions (three nucleotides and twenty-four nucleotides) were in the ORF1ab polyprotein, and one deletion (ten nucleotides) was in the 3′ end of the genome. Ninety-three mutations over the entire genomes of SARS-CoV-2 (Table 1). Forty-two missense mutations were identified in all the major non-structural and structural proteins, except the envelope protein. Twenty-nine missense mutations were in the ORF1ab polyprotein, eight in the spike surface glycoprotein, one in the matrix protein, and four in the nucleocapsid protein. Of note, three mutations (D354, Y364, and F367) located in the spike surface glycoprotein receptor-binding domain",patients: 86,5/10/2020,,,,
1,2020-03-12,Discovery of a 382-nt deletion during the early evolution of SARS-CoV-2,https://doi.org/10.1101/2020.03.11.987222,bioRxiv,Genomic Study,qPCR/Genomic Analysis,382-nt deletion covering almost the entire open reading frame 8 (ORF8) in 8 Singaporean patients,patients: 8,5/10/2020,,,,
2,2020-03-13,The establishment of reference sequence for SARS‐CoV‐2 and variation analysis,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25762,Journal of Medical Virology,Genomic Study,Gene Sequencing,"13 variation sites in 1a, 1b, S, 3a, M, 8, and N regions were identified, among which positions nt28144 in ORF 8 and nt8782 in ORF 1a showed mutation rate of 30.53% (29/95) and 29.47% (28/95), respectively.",patients: 95,5/10/2020,,,,
3,2020-03-18,Potential T-cell and B-cell Epitopes of 2019-nCoV,https://www.biorxiv.org/content/10.1101/2020.02.19.955484v2.full,bioRxiv,Genomic Study,"Gene Sequencing, Fisher’s exact test",Viral mutations have a tendency to occur in regions with strong MHC-I presentation,patients: 68,5/10/2020,,,,
4,2020-03-19,Evidence of the Recombinant Origin and Ongoing Mutations in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),https://www.biorxiv.org/content/10.1101/2020.03.16.993816v2.full,bioRxiv,Genomic Study,Phylogenetic analysis,"orf1a is the most variable segment with total number of 44 dissimilar amino acid substitutions. Spike segment S orf has 13 amino acid residue substitutions. orf6 and orf7b are the most conserved regions without amino acid changes. orf1O, E, M and orf7a are more conserved, with only one or two amino acid substitutions. Our phylogenetic tree demonstrates that BetaCoV/Chongqing/YC01/2020 is the closest SARS-CoV-2 to bat CoV (Bat/Yunnan/RaTG13) as compared to the first reported SARS-CoV-2 (Wuhan-Hu-1_MN9O8947). Taking BetaCoV/Chongqing/YC01/2020 as a reference group, South Korea SARS-CoV-2 (BetaCoV/South_Korea/SNU01/2020) has 7 amino acid substitutions in six orfs (S, E, orf1a, orf31, and orf8). BetaCoV/Shenzhen/SZTH-001/2020 has total of 16 amino acid substitutions in four coding regions with highest substitution of 11 amino acid residues in orf1a. United States of America (USA) SARS-CoV-2 (BetaCoV/USA/MA1/2020) has 5 amino acid substitutions in N, orf1a, orf1ab, and orf8. France CoV (BetaCoV/France/IDF0571/2020) has 3 amino acid mutations in orf1a and 1 amino acid mutation in orf8.",patients: 125,5/10/2020,,,,
