,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-29,"Key predictors of attending hospital with COVID19: An association study from the COVID Symptom Tracker App in 2,618,948 individuals",https://doi.org/10.1101/2020.04.25.20079251,medrxiv,OR 1.33,1.04,1.7,,,,,,,,,,,,,Retrospective observational study,2618948.0,"UK and US-based COVID Symptom Tracker App users (through April 21, 2020)",5/6/2020,Y,N
1,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,HR 0.74,0.43,1.27,,Not Significant,Not Adjusted,Extracted,,Prospective observational study,257.0,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",5/6/2020,N,N
2,2020-04-19,Obesity as a risk factor for greater severity of COVID-19 in patients with metabolic associated fatty liver disease,https://doi.org/10.1016/j.metabol.2020.154244,Metabolism,OR 5.77,1.19,27.91,0.03,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,66.0,Adult laboratory-confirmed COVID-19 patients between ages 18 and 75 admitted to three hospitals in Wenzhou.,5/6/2020,N,N
3,2020-04-17,Clinical Characteristics of Covid-19 in New York City,https://doi.org/10.1056/nejmc2010419,New England Journal of Medicine,OR 1.64,1.06,2.54,0.03,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,393.0,"2 hospitals in Manhattan from March 3 - March 27, 2020",5/6/2020,Y,N
4,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.3,0.6,2.9,,Significant,Adjusted,Extracted,Age and gender,Retrospective observational study,2362.0,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2027",5/6/2020,N,N
5,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.4,0.9,2.0,,Not Significant,Not Adjusted,Extracted,HR 1.3,0.6,2.9,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,2653.0,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",5/6/2020,N,N
6,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 1.38,1.03,1.85,0.03,Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103.0,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2020",4/21/2020,Y,N
7,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,OR 3.6,1.15,11.26,0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,323.0,"Tianyou Hospital from January 8 to February 20, 2020",4/12/2020,N,N
8,2020-03-30,"Suspected myocardial injury in patients with COVID-19: Evidence from front-line clinical observation in Wuhan, China",https://doi.org/10.1016/j.ijcard.2020.03.087,International Journal of Cardiology,OR 1.77,0.79,3.96,0.17,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,112.0,"Renmin Hospital of Wuhan Univeristy from  January 6 to February 20, 2020",5/6/2020,N,N
9,2020-03-03,Epidemiological and clinical features of 2019-nCoV acute respiratory disease cases in Chongqing municipality China: a retrospective descriptive multiple-center study,https://doi.org/10.1101/2020.03.01.20029397,medRxiv,OR 4.89,2.19,10.87,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,267.0,"Qianjiang central hospital of Chongqing, Chongqing three gorges central hospital and Chongqing public health medical center from January 19 to February 16, 2026",5/6/2020,N,N
